,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
0.0,1.6243908501398259,4.36211,5.328,0.65778,0.5403497668236015,0.33,0.52,0.39,0.76,1.01,1.97,1.53,1.88,1.82,5.44,1.31,0.23,0.42,0.29,0.37,0.57,1.84,0.97,1.6243908501398259,1.37,1.87,4.01,2.86,3.03,1.76,0.41,0.37,0.3,0.27,0.34,0.59,0.6,1.33,0.99,1.46,0.27,0.38,0.57,0.4,0.66,1.24,0.53,0.79,2.42,5.3203634523898,2.96318295899185,2.91413486157179,5.32424066936195,1.31660518920453,1.07190512012444,0.760828110101345,1.05227064439797,0.389485360949413,0.864357586753048,1.7679510500388,2.60115607259428,1.02162417931326,1.28579997837096,2.84217673165632,2.47346637027897,1.3947227999399,1.14255437795957,0.685145190535737,1.35741718417906,1.08859357635375,0.492740560643206,2.94685447318742,2.26628796774341,2.69326979125094,1.25766831735105,1.79436379238559,1.78838152416685,1.35835229234796,1.31931669208224,1.00010005150987,1.0050502141083,1.66151467024573,1.65349797716716,2.86363582237953,2.14600918711208,2.32201475766857,1.48209275390704,1.08695202562904,0.990120293035228,1.00533260496664,1.14094126306096,0.638590483474449,0.918052144276014,1.25113449031463,3.28587253143912,2.78387791878771,2.11118747428892,1.2151115619393509,1.05452420465482,0.93065106509256,0.999466068502312,0.95786460387643,0.893554670990126,0.344558089052493,0.847039713152161,0.709705704487763,1.15442665306924,1.89374549813342,1.87877690770586,1.045587148,0.738160893962182,0.688605192456625,0.870920547048223,1.12604502590852,1.01971282714593,1.07957605814289,18.2554471798986,2.65438942542525,2.35238603797865
1.0,1.6704339699164272,4.218782,4.778755555555556,0.94,0.7,0.3,0.52,0.39,0.73,0.97,1.56,1.42,1.8,1.85,5.67,1.32,0.25,0.41,0.26,0.38,0.64,1.69,0.97,1.6704339699164272,1.84,1.73,4.19,2.66,3.13,1.38,0.39,0.39,0.34,0.23,0.33,0.61,0.55,1.32,0.97,1.46,0.31,0.46,0.54,0.52,0.72,0.9,0.45,0.84,1.93,5.29055826560508,3.3506055959985,3.07544271967186,5.38966129311577,1.32349356484361,1.14894886585092,0.767505580123595,1.07005221450498,0.52160573447991,0.894027502268445,1.90196364755705,4.3011396620563,1.63927180578972,1.62917105571472,3.03026431231176,2.60350555600147,1.75763824353222,1.1510804499561,0.730713383632775,1.35783794180188,1.10156493914852,0.675822686847995,3.06065359916783,2.50437764580608,2.7397358349099,1.24613332904226,1.7903798462209,1.83221947956246,1.33861762404942,1.32353756584631,1.01209271512585,1.05425887918297,1.65115450830507,1.69113146251568,2.90659211131178,2.44710311894195,2.47047124067834,1.64681091368045,1.1624889811706,1.02318164318409,1.0814712486465,1.15959264187057,0.887858990649653,0.992119444470951,1.42862865274534,3.39707458642992,2.81520701330487,2.10147979822712,1.1902910254558732,1.08314220914963,0.975401778750507,1.12732224796715,0.975772660131088,0.969540775686145,0.604388051561966,1.10602802724806,0.805782962592712,1.45864254667815,1.94976192062141,2.04293350464957,1.266249955,0.738525730870502,0.814728683850716,0.939990366646287,1.27984247226817,1.04463479636965,1.16662039981623,17.3269565081897,2.71617460952009,2.42425779578272
2.0,1.7310948824650978,4.075454000000001,4.229511111111112,0.46,0.72,0.3,0.52,0.39,0.74,0.96,1.98,1.56,2.45,1.7,5.5,1.27,0.24,0.41,0.26,0.38,0.63,1.68,0.98,1.7310948824650978,1.77,1.81,3.77,2.66,2.99,1.51,0.36,0.4,0.3,0.27,0.33,0.59,0.62,1.36,1.01,1.31,0.3,0.45,0.5,0.52,0.62,0.91,0.52,0.91,2.05,5.27052468466504,3.71929125234517,3.21027007190197,5.4658139428626,1.33364624511469,1.2220065147791,0.779323930842868,1.08535456602005,0.628124610368053,0.92162069471772,2.0116496726659,5.97657405244081,2.14597873744764,1.89690314197351,3.15262542589081,2.73834037423367,2.10266329601818,1.15995108986661,0.772655837792508,1.35903101361575,1.11922653351226,0.828523914144262,3.14388367015632,2.70836555477213,2.78534790338012,1.24479471406195,1.78872834924489,1.92240244991651,1.34236517301501,1.32850107809461,1.02940670973678,1.10153422690832,1.65250090555079,1.74038942144496,2.96081170631562,2.79620985339187,2.5937412142063,1.79827544981498,1.23256621745526,1.04851848385986,1.14836981774576,1.17936617167267,1.09127399311071,1.0789896790827,1.59637385579927,3.51629375846011,2.85712126575981,2.09725861041587,1.0967988742142956,1.11113050613543,1.01992010777238,1.22697083007775,0.993600900199281,1.04263147188726,0.827342731052815,1.32523213934221,0.906290941164837,1.71938142057172,2.0054512664249,2.17656549352643,1.447616444,0.74426076479129,0.916081335220506,0.99991940598607,1.43933892477823,1.07893802827033,1.25651045929354,16.9785937452856,2.77978776191135,2.48728274880675
3.0,1.8255878963211682,3.9321260000000002,3.6802666666666672,0.48,0.74,0.3,0.51,0.41,0.76,0.96,2.02,1.58,2.35,1.66,5.9,1.54,0.23,0.43,0.27,0.38,0.64,2.26,1.04,1.8255878963211682,2.17,1.87,3.88,2.71,3.0,2.52,0.39,0.45,0.31,0.27,0.33,0.6,0.67,1.35,1.02,1.32,0.29,0.42,0.51,0.53,0.61,0.94,0.6,0.99,2.69,5.26121959509174,4.0718897481429,3.31840516607675,5.55249891967034,1.34685279669576,1.29104500058074,0.796927673311853,1.09805796974255,0.710701808937571,0.947141539120747,2.09621696376391,7.57733479163591,2.54187760621274,2.09508628257075,3.21028567413642,2.8788791336765,2.42669796984898,1.16830756737103,0.810861463718403,1.36095781422496,1.14092798584543,0.952396128251912,3.20486196485668,2.88118130141408,2.82937573176818,1.25367321778991,1.78927515395523,2.05541940374954,1.36990340606264,1.33400762680441,1.05158056137344,1.14656938200841,1.66541803995273,1.80021288542933,3.02503917418367,3.19773962498401,2.69233322243177,1.93567209488162,1.29721902071575,1.06666377444555,1.20636303424247,1.20040119825186,1.25171158265583,1.17809017353971,1.75683558728697,3.64063719081866,2.90862286548738,2.09789784181307,1.0371790790159254,1.1388653315102,1.06435667023887,1.3001572241543,1.01097034803115,1.1118401217549,1.01404635886792,1.50727700097029,1.01088345661319,1.93822986283942,2.06127815078426,2.2809027312028,1.591086529,0.754955834086809,0.993634805770293,1.05066727029029,1.60321483375682,1.12199204830202,1.34768013826283,17.2641262168718,2.84428708895025,2.54248544210491
4.0,1.9119416590781912,3.788798,3.1310222222222226,0.47,0.74,0.34,0.53,0.42,0.85,1.02,2.05,1.64,2.53,2.14,5.93,1.75,0.24,0.5,0.28,0.38,0.69,2.6,1.08,1.9119416590781912,2.54,1.88,3.92,3.0866666666666664,3.04,2.22,0.43,0.49,0.35,0.29,0.36,0.61,0.71,1.33,1.07,1.3,0.31,0.39,0.53,0.54,0.63,0.93,0.66,1.15,2.98,5.26366572828261,4.41105090350272,3.4061954859643,5.63865611007299,1.36287435620781,1.35603125692759,0.820225133306284,1.10878784477416,0.775067683734164,0.972161685123197,2.16227497178581,8.8863491873777,2.85054263400539,2.23984700178467,3.21635561060893,3.01755878143557,2.72328952393879,1.17450291039115,0.845011623288406,1.36391101984375,1.16321952363693,1.05141328141076,3.24219458110647,3.0310293702241,2.86941797357656,1.27295873757485,1.79244118564127,2.21300792682408,1.4165553152735,1.33922460373888,1.07683930600785,1.18831535094568,1.68693021909118,1.86271412186418,3.09160206267309,3.65692542791697,2.77239276059982,2.06026012527748,1.35805138959144,1.08074005490172,1.25553865199044,1.22177958360352,1.37785513654659,1.28086996137727,1.90880666400396,3.76857589701495,2.96758828422325,2.10171203188348,1.1828986404059971,1.16657672530677,1.10813293851339,1.3540469557384,1.02677535168962,1.17455881784509,1.17048651841828,1.65932847046407,1.11499523334565,2.12059287876678,2.11543951706605,2.36408375010098,1.704868229,0.768439286454402,1.05330923895188,1.09425319896053,1.76125658770676,1.1700126060321,1.4355679159818,18.1002722135955,2.90716959876281,2.5943035692764
5.0,1.9959746759229406,3.64547,2.581777777777778,0.46,0.75,0.36,0.54,0.44,0.96,1.07,2.07,2.52,2.71,1.97,6.23,1.83,0.29,0.58,0.28,0.48,1.15,2.4,1.13,1.9959746759229406,2.29,1.82,4.26,3.4633333333333334,3.09,2.34,0.47,0.58,0.37,0.34,0.38,0.63,0.78,1.25,1.08,1.6,0.32,0.36,0.57,0.54,0.64,0.95,0.67,1.24,2.66,5.27779786134217,4.73554320278621,3.47031307885206,5.73346949958253,1.38186146882027,1.4169322174914,0.847866914028669,1.11786261524056,0.809401401709597,0.994644545643988,2.21116970198617,10.1120099428523,3.04593641041795,2.295060926565,3.15634332175034,3.16168660446787,3.00304827158938,1.18210849400082,0.874691058938923,1.36788941993658,1.18988952479102,1.11484585521432,3.2480294654311,3.1448467576144,2.90906326756207,1.30251382950079,1.79657751621627,2.41495224796198,1.48595187318317,1.3451222966227,1.10874402547524,1.22855878177855,1.72001389401908,1.93679409488892,3.16904294115424,4.1773270671952,2.82690587582158,2.17323839797902,1.41366697598282,1.0864151841728,1.295478934534,1.24288382150439,1.45312771958558,1.39929853763276,2.04207043796725,3.89477324617734,3.03933746223665,2.1139620859855,1.3360211365814807,1.19266359336932,1.15116363595874,1.37497775779612,1.04240198084757,1.234812756398,1.28747508829162,1.76535079815151,1.22320289275477,2.25587028144885,2.16933463201858,2.41543191608896,1.776963021,0.786901800368472,1.08239159976112,1.12861695865963,1.93103048308838,1.22902729920063,1.52896409240027,19.4026556084094,2.96880012717946,2.63532943590854
6.0,2.0868256807869594,3.827385,2.0325333333333337,0.47,0.77,0.39,0.57,0.5,1.44,1.89,2.5,2.08,2.9450000000000003,2.06,6.23,1.93,0.31,0.61,0.3,0.5,1.33,2.69,1.23,2.0868256807869594,2.28,2.31,4.27,3.84,3.12,2.35,0.48,0.66,0.42,0.41,0.44,0.65,0.79,1.51,1.09,1.34,0.34,0.38,0.66,0.55,0.66,0.96,0.67,1.19,2.81,5.30098776948346,5.04097273265697,3.51065198606763,5.83285771872354,1.40381813670599,1.47371481594393,0.880619666152845,1.12497421384345,0.82258425639396,1.01622615276073,2.2395544404804,11.1675832550571,3.13243619565817,2.29168548143525,3.03890152179654,3.30726218034076,3.2588734741072,1.18913911551479,0.900353123584375,1.37291085049103,1.21792979135006,1.15728148979171,3.246279137229,3.23450283211554,2.94623916674751,1.34245295210331,1.80321188626557,2.64439190948404,1.57497276302501,1.35086892102522,1.14371101606354,1.26609763925803,1.76186496054641,2.01889384638279,3.25029348571451,4.74639157834948,2.86127069716711,2.27379044325516,1.46523772982734,1.08800602606992,1.32623917698368,1.26411463013524,1.48771193465999,1.52502587152178,2.16456611053226,4.02291637564,3.12106675960779,2.13003539996835,1.4470929661534946,1.21790376724638,1.19353447001841,1.3735555017531,1.05647353064888,1.2907165031927,1.37166027611263,1.83646992236298,1.3326709340027,2.35023745846397,2.22169327444403,2.44046845891863,1.812881499,0.807238151850318,1.0894027664939,1.15513054699953,2.09426690879872,1.29463230369466,1.62243235997509,20.9223735485838,3.02930357957406,2.67207597243445
7.0,2.153423392045212,4.0093,1.4832888888888895,0.49,0.79,0.4,0.61,0.55,1.51,2.32,2.72,2.04,3.18,2.11,5.99,2.73,0.33,0.62,0.32,0.51,1.32,2.66,1.53,2.153423392045212,2.03,2.27,4.28,3.61,3.28,2.37,0.51,0.74,0.47,0.49,0.48,0.66,0.82,1.5,1.04,1.36,0.36,0.4,0.7,0.56,0.71,0.96,0.65,1.69,2.77,5.33027339441052,5.32684274451899,3.52613971863513,5.90476696132632,1.42713163473554,1.52634598595692,0.928361338472578,1.12769307929415,0.833473959198208,1.04321742860102,2.2411734668493,11.4168833480719,3.18692304518322,2.28731992356799,2.87548030565385,3.45620699136878,3.4645417877689,1.18669818042644,0.919949489167102,1.3795021360817,1.24154078853716,1.18936476341142,3.25875325264378,3.31691419138283,2.9687780967809,1.39315180189713,1.80852753903539,2.89398931944962,1.68482406809992,1.35420010850704,1.18076206470475,1.2948278479787,1.81779924202785,2.08977421008026,3.31960833244494,5.34617253349246,2.87343580160045,2.34820331382046,1.51377387219742,1.08397341444039,1.34615038580266,1.28720753644005,1.51132366189397,1.64087915376235,2.31811388627065,3.87555693967734,3.20405412602729,2.13708869554623,1.5924913056900138,1.24266824627576,1.23681339483413,1.37220929635619,1.06724050414967,1.328477337487,1.43031820853686,1.90918254365024,1.43811557140374,2.42121603453972,2.27450153904937,2.45961499742599,1.834396347,0.832541059582705,1.10322746843743,1.17401726632892,2.22426419889587,1.35752271024706,1.69293263878404,22.5215415233225,3.09602974735976,2.72095217380198
8.0,2.1970865616848525,4.191215,0.9340444444444449,0.52,0.79,0.43,0.65,0.61,2.19,2.72,2.57,1.76,2.95,2.14,6.17,2.83,0.39,0.67,0.35,0.53,1.3,2.65,1.6,2.1970865616848525,2.18,2.18,4.37,3.92,3.34,2.47,0.53,0.74,0.51,0.57,0.57,0.66,0.86,1.66,1.06,1.38,0.37,0.42,0.76,0.55,0.74,0.97,0.65,1.09,2.77,5.36475483659464,5.59265806296062,3.49354379057382,5.95979000592376,1.45069200700898,1.57479266120214,0.996968198492555,1.12535702493133,0.831607645648727,1.07331156719744,2.19581358665094,10.9205556753006,3.15687684947562,2.25371014455932,2.64470997084817,3.62906977557802,3.62241838827953,1.17452738413347,0.931615914102257,1.38753075504082,1.26504294231257,1.20658659232132,3.27495356040041,3.38072399639647,2.97847450614932,1.45424849252824,1.81090280794274,3.18909777500306,1.81915510967507,1.35603216657373,1.22162835212242,1.31601507452373,1.89187932193585,2.16605443222685,3.38625179827022,5.95816014198827,2.85580298804984,2.3943500412869,1.55740197721744,1.07123365218648,1.35366196349269,1.31366472340331,1.50573730687341,1.76602985742174,2.51708326433677,3.29156736335085,3.29329839537596,2.13690544469029,1.7343309015848871,1.26394403947484,1.28339460706632,1.35842359267146,1.07596971160496,1.34822722201034,1.45013254597943,1.97109877102085,1.55115477040989,2.4566602597578,2.33092092829635,2.46036547468481,1.819620731,0.859179274122793,1.1134974317163,1.18200804673387,2.33221585069175,1.42451467182636,1.7423953087007,23.9766862682077,3.17119149293031,2.77568807963289
9.0,2.244774324878078,4.37313,0.3848,0.56,0.81,0.44,0.68,0.64,2.01,2.93,2.67,1.96,2.9,2.18,6.3,2.77,0.39,0.7,0.37,0.54,1.76,2.67,1.6,2.244774324878078,2.13,2.09,4.37,3.91,3.42,3.07,0.55,0.76,0.61,0.6,0.71,0.66,0.88,1.5,1.07,1.39,0.37,0.43,0.8,0.56,0.75,0.98,0.66,1.19,2.78,5.42538591701858,5.83829028333672,3.50799403933304,5.99624504077071,1.48176044064478,1.61901075087223,1.04768082162553,1.12641977988323,0.842232124096355,1.10151123905233,2.17345543799609,10.0353913129986,3.16339072011536,2.24350740351199,2.46853778881481,3.70092022544822,3.75477867232185,1.15982553486018,0.948870691831728,1.39543636730579,1.2750127144252,1.20505935717445,3.28762674673617,3.45945003612577,2.98733231344511,1.5255491482602,1.83723992050885,3.38779758364039,1.93376386381376,1.35711127389398,1.24688780340585,1.33762501857446,1.93949220418833,2.20040299146669,3.44116829986681,6.58239838870082,2.87950495008283,2.45677908039973,1.60365312621759,1.08403005622982,1.35845112307965,1.33697479664615,1.51509961281079,1.83887258807586,2.64295787112775,3.71032724720401,3.37576741795296,2.14053045478679,1.842986621918292,1.29569394623026,1.32260751359889,1.36159518027914,1.07947331045488,1.36564030067422,1.48996605769558,2.02388703113122,1.63256927260262,2.49002288710332,2.36331806129145,2.48085615602217,1.840315805,0.875687715365468,1.12702872465494,1.20040668010622,2.3891610635315,1.47497942193564,1.78737088264823,25.2828668387209,3.22134340344513,2.8353785556462
